Show,Name,NameR,BirthMonth,BirthDay,Height,Weight,Blood,B,W,H,Cup,Pic,THPic,Game,CV,Contributor,Refer
Y,朱鷺戸 沙耶,Tokido Saya,10,21,156,44,不明,83,55,82,E,LBE_SAY.png,,Little Busters! EX,風音 (game)<br/>櫻井 浩美 (anime),slk000,http://zh.wikipedia.org/wiki/Little_Busters! http://dic.nicovideo.jp/a/%E6%9C%B1%E9%B7%BA%E6%88%B8%E6%B2%99%E8%80%B6
N,,,,,,,,,,,,,,,,,
Y,氷室 憂希,Himuro Yūki,11,3,165,45,不明,89,58,84,F,KW_YUK.png,KW_YUK.jpg,Kud Wafter,襖川 久美子,幾星霜の観測者,http://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%89%E3%82%8F%E3%81%B5%E3%81%9F%E3%83%BC
Y,あーちゃん先辈,Achansenpai,4,1,160,45,不明,81,58,83,C,KW_ACH.png,KW_ACH.jpg,Kud Wafter,平井 理子,幾星霜の観測者,http://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%89%E3%82%8F%E3%81%B5%E3%81%9F%E3%83%BC
Y,有月 椎菜,Arizuki Shiina,3,25,125,25,不明,不明,不明,不明,目測AA,KW_SHI.png,KW_SHI.jpg,Kud Wafter,仲野 七恵,goodbest/JimRaynor,http://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%89%E3%82%8F%E3%81%B5%E3%81%9F%E3%83%BC
Y,有月 初,Arizuki Ui,不明,不明,不明,不明,不明,不明,不明,不明,目測A,KW_YUI.png,KW_YUI.jpg,Kud Wafter,由宇 翼,goodbest/JimRaynor,http://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%89%E3%82%8F%E3%81%B5%E3%81%9F%E3%83%BC
N,,,,,,,,,,,,,,,,,
Y,神戸 小鳥,Kanbe Kotori,7,26,156,44,不明,83,54,83,E,RW_KOT.png,RW_KOT.jpg,Rewrite,斎藤 千和,幾星霜の観測者,http://zh.wikipedia.org/wiki/Rewrite
Y,鳳 ちはや,Ohtori Chihaya,8,24,159,46,不明,82,55,84,D,RW_CHI.png,RW_CHI.jpg,Rewrite,篠宮 沙弥,幾星霜の観測者,http://zh.wikipedia.org/wiki/Rewrite
Y,千里 朱音,Senri Akane,2,17,160,47,不明,86,57,85,E,RW_AKA.png,RW_AKA.jpg,Rewrite,喜多村 英梨,幾星霜の観測者,http://zh.wikipedia.org/wiki/Rewrite
Y,中津 静流,Nakatsu Sizuru,6,18,149,39,不明,75,52,73,A,RW_SIZ.png,RW_SIZ.jpg,Rewrite,すずき けいこ,幾星霜の観測者/JimRaynor,http://zh.wikipedia.org/wiki/Rewrite
Y,此花 ルチア,Konohana Lucia,12,23,167,52,不明,93,59,86,G,RW_LUC.png,RW_LUC.jpg,Rewrite,朝树 りさ,幾星霜の観測者,http://zh.wikipedia.org/wiki/Rewrite
Y,西九条 灯花,Nishikujō Tōka,不明,不明,167,54,不明,88,61,87,D,RW_TOU.png,RW_TOU.jpg,Rewrite,田中 凉子,幾星霜の観測者,http://zh.wikipedia.org/wiki/Rewrite
Y,篝,Kagari,不明,不明,不明,不明,不明,不明,不明,不明,目測AA,RW_KAG.png,RW_KAG.jpg,Rewrite,花澤 香菜,JimRaynor,
Y,しまこ,Shimako,不明,不明,不明,不明,不明,不明,不明,不明,不明,RW_SHI.png,,Rewrite,渡邉 佳美,goodbest,http://zh.wikipedia.org/wiki/Rewrite
Y,井上,Inoue,不明,不明,不明,不明,不明,不明,不明,不明,不明,RW_INO.png,,Rewrite,渡邉 佳美,goodbest,http://zh.wikipedia.org/wiki/Rewrite
N,,,,,,,,,,,,,,,,,
Y,ほしの ゆめみ,Hoshino Yumemi,不明,不明,不明,不明,不明,不明,不明,不明,不明,PL_YUM.png,,Planetarian,すずき けいこ,goodbest,http://ja.wikipedia.org/wiki/Planetarian_%E3%80%9C%E3%81%A1%E3%81%84%E3%81%95%E3%81%AA%E3%81%BB%E3%81%97%E3%81%AE%E3%82%86%E3%82%81%E3%80%9C
N,,,,,,,,,,,,,,,,,
Y,立華 かなで,Tachibana Kanade,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_KAN.png,,Angel Beats!,花澤 香菜,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,仲村 ゆり,Nakamura Yuri,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_YUR.png,,Angel Beats!,櫻井 浩美,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,椎名,Shina,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_SHI.png,,Angel Beats!,斎藤 楓子,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,遊佐,Yusa,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_YUS.png,,Angel Beats!,牧野 由依,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,岩沢 まさみ,Iwasawa Masami,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_IWA.png,,Angel Beats!,沢城 みゆき,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,ひさ子,Hisako,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_HIS.png,,Angel Beats!,松浦 チエ,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,関根 しおり,Sekine Shiori,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_SEK.png,,Angel Beats!,加藤 英美里,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,入江 みゆき,Irie Miyuki,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_IRI.png,,Angel Beats!,阿澄 佳奈,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,ユイ,YUI,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_YUI.png,,Angel Beats!,喜多村 英梨,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
Y,音無 初音,Otonashi Hatsune,不明,不明,不明,不明,不明,不明,不明,不明,不明,AB_HAT.png,,Angel Beats!,中原 麻衣,幾星霜の観測者,http://ja.wikipedia.org/wiki/Angel_Beats!
N,,,,,,,,,,,,,,,,,
Y,友利 奈緒,,不明,不明,不明,不明,不明,不明,不明,不明,不明,CHA_NAO.png,,Charlotte,不明,goodbest,http://ja.wikipedia.org/wiki/Charlotte
Y,西森 柚咲,,不明,不明,不明,不明,不明,不明,不明,不明,不明,CHA_YUS.png,,Charlotte,不明,goodbest,http://ja.wikipedia.org/wiki/Charlotte
N,乙坂 有宇,,不明,不明,不明,不明,不明,不明,不明,不明,不明,CHA_YUU.png,,Charlotte,不明,goodbest,http://ja.wikipedia.org/wiki/Charlotte
N,高城 丈士朗,,不明,不明,不明,不明,不明,不明,不明,不明,不明,CHA_JOU.png,,Charlotte,不明,goodbest,http://ja.wikipedia.org/wiki/Charlotte
N,,,,,,,,,,,,,,,,,
N,还要完成的：,,,,,,,,,,,,,,,,
N,1. 补全罗马字,,,,,,,,,,,,,,,,
N,2. 截图、或者找低分辨率的缩略图，100像素即可。（否则会在页面下方显示key的logo） 打包发给lovegoodbest@gmail.com,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,
N,4. 是否补全男主？？？,,,,,,,,,,,,,,,,
